experiment_name,analysis_note,t_bg,t_vg,p_mAP_mean,p_mAP@1s,p_mAP@5s,p_mAP@10s,fps,speed_ratio,average_sliding_step,skipped_window_ratio,average_delay_seconds,processed_windows,total_windows
b1_c3d_flex_subset200,joint robustness,0.85,6.0,0.009888302633001882,0.0018561276366153901,0.01030868480647681,0.016281623860819407,14.913898764247717,1.3643411914009105,3.0772600869950617,0.23545393207886647,2.9957434052757814,254957.0,333475.0
b1_c3d_flex_subset200,joint robustness,0.85,8.0,0.009888888399179598,0.0018562218516256501,0.010309283281433516,0.016282428383852948,14.917058203458984,1.3646302206564926,3.078751525089936,0.2356158632581153,2.9957434052757814,254903,333475
b1_c3d_flex_subset200,joint robustness,0.85,10.0,0.009888844912182853,0.0018562172461425396,0.010309239286034066,0.01628236613584888,14.920745908163182,1.3649675762674696,3.0804936430701617,0.23580478296723892,2.9957434052757814,254840,333475
b1_c3d_flex_subset200,joint robustness,0.85,12.0,0.00988878681084626,0.0018562008533069261,0.010309180321154097,0.01628228618256523,14.924025398911647,1.3652675879804144,3.082045968349661,0.23597271159757102,2.9957434052757814,254784,333475
b1_c3d_flex_subset200,joint robustness,0.85,14.0,0.009889507618023468,0.0018468987642940872,0.01031094463905031,0.01628507392866519,14.927716549622158,1.365605258836146,3.0837818632935643,0.23616163130669465,2.9964628297362133,254721,333475
b1_c3d_flex_subset200,joint robustness,0.85,16.0,0.009889507618023468,0.0018468987642940872,0.01031094463905031,0.01628507392866519,14.929709357903251,1.3657875633071257,3.0847667921802056,0.23626358797511057,2.9964628297362133,254687,333475
b1_c3d_flex_subset200,joint robustness,0.85,18.0,0.009889507618023468,0.0018468987642940872,0.01031094463905031,0.01628507392866519,14.93258228244137,1.3660503818597458,3.0860947698301118,0.23641052552665118,2.9964628297362133,254638,333475
b1_c3d_flex_subset200,joint robustness,0.88,6.0,0.009919797133557293,0.0018585627340643642,0.010348927060135286,0.016331268227083858,14.570156519612471,1.3328952421562543,2.8348366874607236,0.217416597945873,2.987634408602153,260972,333475
b1_c3d_flex_subset200,joint robustness,0.88,8.0,0.00992046805704047,0.0018586561977430003,0.010349620450931848,0.016332186509581372,14.57311612889941,1.3331659907327635,2.8362327005699086,0.2175755303995802,2.987634408602153,260919,333475
b1_c3d_flex_subset200,joint robustness,0.88,10.0,0.009920418462486941,0.0018586516330181778,0.010349569643019526,0.016332116121127303,14.57669159968682,1.3334930790515878,2.8378869486879683,0.21776744883424545,2.987634408602153,260855,333475
b1_c3d_flex_subset200,joint robustness,0.88,12.0,0.009920354365321512,0.0018586353609631363,0.010349503981752526,0.016332028166445064,14.579821576142185,1.3337794130192293,2.8393475435105198,0.21793537746457756,2.987634408602153,260799,333475
b1_c3d_flex_subset200,joint robustness,0.88,14.0,0.009921084561519978,0.0018493333666393355,0.010351279142746967,0.016334827273923894,14.58328847549947,1.3340965690945357,2.840962349033701,0.21812129844815953,2.988351254480289,260737,333475
b1_c3d_flex_subset200,joint robustness,0.88,16.0,0.009921084561519978,0.0018493333666393355,0.010351279142746967,0.016334827273923894,14.58530227055633,1.3342807934607155,2.84193002711919,0.21822925256765874,2.988351254480289,260701,333475
b1_c3d_flex_subset200,joint robustness,0.88,18.0,0.009921084561519978,0.0018493333666393355,0.010351279142746967,0.016334827273923894,14.588044163237978,1.3345316250633104,2.8431970596811076,0.21837619011919934,2.988351254480289,260652,333475
b1_c3d_flex_subset200,joint robustness,0.91,6.0,0.009933837723458332,0.0018650644632969553,0.010365459696546637,0.01635150021676681,14.336355464869115,1.31150684368167,2.6319996380472648,0.20465402204063274,2.984257602862256,265228,333475
b1_c3d_flex_subset200,joint robustness,0.91,8.0,0.00993450770095326,0.0018651577580781863,0.010366152144716975,0.016352417187470946,14.339220843730764,1.3117689719468348,2.6333327048175734,0.2048129544943399,2.984257602862256,265175,333475
b1_c3d_flex_subset200,joint robustness,0.91,10.0,0.009934458177306192,0.001865153200776469,0.010366101406653184,0.016352346902769387,14.342682450883991,1.3120856438850217,2.634896326444395,0.20500487292900518,2.984257602862256,265111,333475
b1_c3d_flex_subset200,joint robustness,0.91,12.0,0.00993439418008739,0.0018651369617842238,0.010366035845120015,0.016352259084042208,14.345712728438647,1.3123628572786854,2.6362943540019996,0.2051728015593373,2.984257602862256,265055,333475
b1_c3d_flex_subset200,joint robustness,0.91,14.0,0.009935150040697676,0.001855743497318548,0.010367849726144398,0.016355105430262244,14.349015023873392,1.3126649551914458,2.6378106674113377,0.20535572381737763,2.9849731663685173,264994,333475
b1_c3d_flex_subset200,joint robustness,0.91,16.0,0.009935150040697676,0.001855743497318548,0.010367849726144398,0.016355105430262244,14.351018796394529,1.312848262684141,2.638745154874187,0.20546667666241847,2.9849731663685173,264957,333475
b1_c3d_flex_subset200,joint robustness,0.91,18.0,0.009935150040697676,0.001855743497318548,0.010367849726144398,0.016355105430262244,14.353673302566571,1.3130911000649355,2.6399617980581938,0.20561361421395907,2.9849731663685173,264908,333475
b1_c3d_flex_subset200,joint robustness,0.94,6.0,0.009947487415910903,0.0018649015398677971,0.010380465398810221,0.016369559504319807,14.186111944381953,1.2977623877897526,2.483149714405101,0.1962306019941525,2.980000000000002,268037,333475
b1_c3d_flex_subset200,joint robustness,0.94,8.0,0.009948156227686692,0.0018649947042759288,0.010381156610343337,0.016370474896134947,14.189076416747104,1.298033581246439,2.484500766845411,0.1963985306244846,2.980000000000002,267981,333475
b1_c3d_flex_subset200,joint robustness,0.94,10.0,0.009948106789470128,0.0018649901540046775,0.010381105962420426,0.016370404729892943,14.192306984309889,1.2983291174081888,2.485954762615706,0.19658145288252493,2.980000000000002,267920,333475
b1_c3d_flex_subset200,joint robustness,0.94,12.0,0.009948042893509661,0.0018649739348260725,0.0103810405077822,0.01637031704843618,14.195274046666611,1.2986005478003835,2.4873069916076815,0.19674938151285704,2.980000000000002,267864,333475
b1_c3d_flex_subset200,joint robustness,0.94,14.0,0.0099488215375013,0.001855579997880647,0.01038288211824549,0.01637319664951549,14.198666494534374,1.2989108929649065,2.488831217326363,0.1969412999475223,2.9807142857142876,267800,333475
b1_c3d_flex_subset200,joint robustness,0.94,16.0,0.0099488215375013,0.001855579997880647,0.01038288211824549,0.01637319664951549,14.200628493243299,1.299090378939592,2.489742794934326,0.19705225279256317,2.9807142857142876,267763,333475
b1_c3d_flex_subset200,joint robustness,0.94,18.0,0.0099488215375013,0.001855579997880647,0.01038288211824549,0.01637319664951549,14.20306849111676,1.2993135928461845,2.4908466776484124,0.19719019416747882,2.9807142857142876,267717,333475
b1_c3d_flex_subset200,joint robustness,0.95,6.0,0.009949613664730841,0.0018646466120483072,0.010382521910998565,0.016372446214815407,14.14647561362972,1.2941364091254146,2.4436284357932645,0.19397855911237724,2.977183600713015,268788,333475
b1_c3d_flex_subset200,joint robustness,0.95,8.0,0.009950278979099397,0.0018647392808601175,0.010383209513204136,0.016373356819089233,14.149370889456469,1.2944012724004939,2.4449583787625637,0.19414348901716771,2.977183600713015,268733,333475
b1_c3d_flex_subset200,joint robustness,0.95,10.0,0.009950229799805733,0.001864734754525912,0.010383159130255068,0.01637328702086804,14.152583399968382,1.2946951566817604,2.446399327060505,0.19432641127520803,2.977183600713015,268672,333475
b1_c3d_flex_subset200,joint robustness,0.95,12.0,0.009950166244058197,0.0018647186229034118,0.010383094023752487,0.016373199808409948,14.155533874513452,1.2949650696012225,2.4477395240789828,0.19449433990554016,2.977183600713015,268616,333475
b1_c3d_flex_subset200,joint robustness,0.95,14.0,0.009950944481695511,0.0018553272562899456,0.010384935019928496,0.01637607857125819,14.158907352156401,1.295273679347024,2.449250052131431,0.19468625834020542,2.977896613190733,268552,333475
b1_c3d_flex_subset200,joint robustness,0.95,16.0,0.009950944481695511,0.0018553272562899456,0.010384935019928496,0.01637607857125819,14.16085837750705,1.2954521614658472,2.450157346889373,0.19479721118524626,2.977896613190733,268515,333475
b1_c3d_flex_subset200,joint robustness,0.95,18.0,0.009950944481695511,0.0018553272562899456,0.010384935019928496,0.01637607857125819,14.163284726490975,1.2956741267557965,2.4512513549050357,0.19493515256016195,2.977896613190733,268469,333475
b1_c3d_flex_subset200,joint robustness,0.97,6.0,0.009968595031426494,0.0018669248058880467,0.010421864286515311,0.016362513684385804,14.079010675647986,1.28796463638384,2.378471245131,0.19011620061473875,2.975519904931672,270076,333475
b1_c3d_flex_subset200,joint robustness,0.97,8.0,0.009969258260512022,0.001867017179239842,0.010422549736686593,0.016363421434153137,14.081878399221933,1.2882269791460736,2.3797778691286973,0.1902811305195292,2.975519904931672,270021,333475
b1_c3d_flex_subset200,joint robustness,0.97,10.0,0.009969209235596424,0.0018670126671772268,0.010422499511724434,0.016363351855355597,14.085060332035507,1.2885180661431395,2.3811972144021336,0.19046405277756953,2.975519904931672,269960,333475
b1_c3d_flex_subset200,joint robustness,0.97,12.0,0.009969145882044228,0.0018669965877483267,0.010422434612105017,0.0163632649210989,14.087982716952343,1.2887854093900124,2.3825174876993302,0.19063198140790164,2.975519904931672,269904,333475
b1_c3d_flex_subset200,joint robustness,0.97,14.0,0.00996992387794018,0.0018576067530307505,0.01042427524237382,0.01636614318560199,14.091324070694876,1.2890910804032092,2.3840053364957012,0.1908238998425669,2.97623291740939,269840,333475
b1_c3d_flex_subset200,joint robustness,0.97,16.0,0.00996992387794018,0.0018576067530307505,0.01042427524237382,0.01636614318560199,14.093256513961318,1.2892678626108751,2.3848993524905207,0.19093485268760776,2.97623291740939,269803,333475
b1_c3d_flex_subset200,joint robustness,0.97,18.0,0.00996992387794018,0.0018576067530307505,0.01042427524237382,0.01636614318560199,14.095816511474549,1.289502054227192,2.3860480289448907,0.19108179023914837,2.97623291740939,269754,333475
b1_c3d_flex_subset200,joint robustness,0.99,6.0,0.009977782755736058,0.001871062278094521,0.010431851378707804,0.016373193996096415,14.012702548096971,1.2818986900359013,2.3102220715375488,0.18628382937251667,2.9802249851983444,271354,333475
b1_c3d_flex_subset200,joint robustness,0.99,8.0,0.009978445674285357,0.0018711564164890717,0.010432536398894517,0.016374099807819002,14.015543320234523,1.2821585672486886,2.3115087044183724,0.18644875927730714,2.9802249851983444,271299,333475
b1_c3d_flex_subset200,joint robustness,0.99,10.0,0.00997839668341589,0.0018711518208242006,0.010432486206691415,0.01637403037946034,14.018695342231934,1.2824469179687283,2.3129096955441346,0.18663168153534748,2.9802249851983444,271238,333475
b1_c3d_flex_subset200,joint robustness,0.99,12.0,0.009978333352258695,0.001871135431495911,0.010432421351900067,0.01637394363988839,14.021641955875616,1.2827164776883409,2.3142144914282343,0.18680260889122124,2.9802249851983444,271181,333475
b1_c3d_flex_subset200,joint robustness,0.99,14.0,0.00997912470836955,0.0018617363139807812,0.010434278051189764,0.01637684088825527,14.02495191093257,1.283019276312448,2.315675520162882,0.1869945273258865,2.9809354647720565,271117,333475
b1_c3d_flex_subset200,joint robustness,0.99,16.0,0.00997912470836955,0.0018617363139807812,0.010434278051189764,0.01637684088825527,14.026814447476236,1.2831896633699962,2.3165474526064167,0.18710248144538572,2.9809354647720565,271081,333475
b1_c3d_flex_subset200,joint robustness,0.99,18.0,0.00997912470836955,0.0018617363139807812,0.010434278051189764,0.01637684088825527,14.029350361714874,1.2834216518197186,2.317678355323357,0.18724941899692632,2.9809354647720565,271032,333475
